old_path,new_path,status,detail
P:/BRAIN_DRAIN/Data/05/bin_cbsa_5.csv,P:/BRAIN_DRAIN/Data/results/bin_cbsa_5.csv,OK,192020 bytes
P:/BRAIN_DRAIN/Data/05/bin_state_10.csv,P:/BRAIN_DRAIN/Data/results/bin_state_10.csv,OK,469599 bytes
P:/BRAIN_DRAIN/Data/05/bin_state_25.csv,P:/BRAIN_DRAIN/Data/results/bin_state_25.csv,OK,1014447 bytes
P:/BRAIN_DRAIN/Data/05/bin_state_5.csv,P:/BRAIN_DRAIN/Data/results/bin_state_5.csv,OK,295659 bytes
P:/BRAIN_DRAIN/Data/05/li_inst.csv,P:/BRAIN_DRAIN/Data/intermediate/li_inst.csv,OK,185959 bytes
P:/BRAIN_DRAIN/Data/05/local_stocks.csv,P:/BRAIN_DRAIN/Data/intermediate/local_stocks.csv,OK,1947274 bytes
P:/BRAIN_DRAIN/Data/05/microdata_sample.csv,P:/BRAIN_DRAIN/Data/intermediate/microdata_sample__05.csv,OK,20331 bytes
P:/BRAIN_DRAIN/Data/05/raw_microdata.csv,P:/BRAIN_DRAIN/Data/raw/revelio/raw_microdata__05.csv,OK,2886355924 bytes
P:/BRAIN_DRAIN/Data/05/return.csv,P:/BRAIN_DRAIN/Data/intermediate/return.csv,OK,15547388 bytes
P:/BRAIN_DRAIN/Data/05/returners_cbsa_10.csv,P:/BRAIN_DRAIN/Data/results/returners_cbsa_10.csv,OK,94792 bytes
P:/BRAIN_DRAIN/Data/05/returners_cbsa_25.csv,P:/BRAIN_DRAIN/Data/results/returners_cbsa_25.csv,OK,953292 bytes
P:/BRAIN_DRAIN/Data/05/returners_cbsa_5.csv,P:/BRAIN_DRAIN/Data/results/returners_cbsa_5.csv,OK,71555 bytes
P:/BRAIN_DRAIN/Data/05/returners_state_10.csv,P:/BRAIN_DRAIN/Data/results/returners_state_10.csv,OK,360477 bytes
P:/BRAIN_DRAIN/Data/05/returners_state_25.csv,P:/BRAIN_DRAIN/Data/results/returners_state_25.csv,OK,951593 bytes
P:/BRAIN_DRAIN/Data/05/returners_state_5.csv,P:/BRAIN_DRAIN/Data/results/returners_state_5.csv,OK,198721 bytes
P:/BRAIN_DRAIN/Data/05/return_occp.csv,P:/BRAIN_DRAIN/Data/intermediate/return_occp.csv,OK,40444957 bytes
P:/BRAIN_DRAIN/Data/05/state_stocks.csv,P:/BRAIN_DRAIN/Data/intermediate/state_stocks.csv,OK,1123619 bytes
P:/BRAIN_DRAIN/Data/06/AAU 2.xlsx,P:/BRAIN_DRAIN/Data/raw/rankings_membership/AAU 2.xlsx,OK,11443 bytes
P:/BRAIN_DRAIN/Data/06/AAU.xlsx,P:/BRAIN_DRAIN/Data/raw/rankings_membership/AAU__06.xlsx,OK,11794 bytes
P:/BRAIN_DRAIN/Data/06/all_deg.csv,P:/BRAIN_DRAIN/Data/intermediate/all_deg.csv,OK,28403166 bytes
P:/BRAIN_DRAIN/Data/06/bls_laus_data.csv,P:/BRAIN_DRAIN/Data/raw/bls/bls_laus_data.csv,OK,953165 bytes
P:/BRAIN_DRAIN/Data/06/business_deg.csv,P:/BRAIN_DRAIN/Data/intermediate/business_deg.csv,OK,1043217 bytes
P:/BRAIN_DRAIN/Data/06/coef_data.csv,P:/BRAIN_DRAIN/Data/results/coef_data.csv,OK,6178 bytes
P:/BRAIN_DRAIN/Data/06/coef_data_semi.csv,P:/BRAIN_DRAIN/Data/results/coef_data_semi.csv,OK,20999 bytes
P:/BRAIN_DRAIN/Data/06/cohort_return_col_10.csv,P:/BRAIN_DRAIN/Data/intermediate/cohort_return_col_10.csv,OK,1041 bytes
P:/BRAIN_DRAIN/Data/06/cohort_return_hs_10.csv,P:/BRAIN_DRAIN/Data/intermediate/cohort_return_hs_10.csv,OK,1053 bytes
P:/BRAIN_DRAIN/Data/06/cohort_x_grad,P:/BRAIN_DRAIN/Data/intermediate/cohort_x_grad,OK,958 bytes
P:/BRAIN_DRAIN/Data/06/cohort_x_grad.csv,P:/BRAIN_DRAIN/Data/intermediate/cohort_x_grad.csv,OK,95170 bytes
P:/BRAIN_DRAIN/Data/06/CollegeMarketShares_state.csv,P:/BRAIN_DRAIN/Data/intermediate/CollegeMarketShares_state.csv,OK,10207581 bytes
P:/BRAIN_DRAIN/Data/06/diff_cbsa.csv,P:/BRAIN_DRAIN/Data/intermediate/diff_cbsa.csv,OK,27572 bytes
P:/BRAIN_DRAIN/Data/06/directed_2000_2005.csv,P:/BRAIN_DRAIN/Data/results/directed_2000_2005.csv,OK,3798 bytes
P:/BRAIN_DRAIN/Data/06/directed_2000_2010.csv,P:/BRAIN_DRAIN/Data/results/directed_2000_2010.csv,OK,3818 bytes
P:/BRAIN_DRAIN/Data/06/directed_2001_2006.csv,P:/BRAIN_DRAIN/Data/results/directed_2001_2006.csv,OK,3798 bytes
P:/BRAIN_DRAIN/Data/06/directed_2001_2011.csv,P:/BRAIN_DRAIN/Data/results/directed_2001_2011.csv,OK,3831 bytes
P:/BRAIN_DRAIN/Data/06/directed_2002_2007.csv,P:/BRAIN_DRAIN/Data/results/directed_2002_2007.csv,OK,3807 bytes
P:/BRAIN_DRAIN/Data/06/directed_2002_2012.csv,P:/BRAIN_DRAIN/Data/results/directed_2002_2012.csv,OK,3834 bytes
P:/BRAIN_DRAIN/Data/06/directed_2003_2008.csv,P:/BRAIN_DRAIN/Data/results/directed_2003_2008.csv,OK,3817 bytes
P:/BRAIN_DRAIN/Data/06/directed_2003_2013.csv,P:/BRAIN_DRAIN/Data/results/directed_2003_2013.csv,OK,3817 bytes
P:/BRAIN_DRAIN/Data/06/directed_2004_2009.csv,P:/BRAIN_DRAIN/Data/results/directed_2004_2009.csv,OK,3821 bytes
P:/BRAIN_DRAIN/Data/06/directed_2004_2014.csv,P:/BRAIN_DRAIN/Data/results/directed_2004_2014.csv,OK,3846 bytes
P:/BRAIN_DRAIN/Data/06/directed_2005_2010.csv,P:/BRAIN_DRAIN/Data/results/directed_2005_2010.csv,OK,3817 bytes
P:/BRAIN_DRAIN/Data/06/directed_2005_2015.csv,P:/BRAIN_DRAIN/Data/results/directed_2005_2015.csv,OK,3834 bytes
P:/BRAIN_DRAIN/Data/06/directed_2006_2011.csv,P:/BRAIN_DRAIN/Data/results/directed_2006_2011.csv,OK,3840 bytes
P:/BRAIN_DRAIN/Data/06/directed_2006_2016.csv,P:/BRAIN_DRAIN/Data/results/directed_2006_2016.csv,OK,3827 bytes
P:/BRAIN_DRAIN/Data/06/directed_2007_2012.csv,P:/BRAIN_DRAIN/Data/results/directed_2007_2012.csv,OK,3835 bytes
P:/BRAIN_DRAIN/Data/06/directed_2007_2017.csv,P:/BRAIN_DRAIN/Data/results/directed_2007_2017.csv,OK,3829 bytes
P:/BRAIN_DRAIN/Data/06/directed_2008_2013.csv,P:/BRAIN_DRAIN/Data/results/directed_2008_2013.csv,OK,3816 bytes
